episode,seed_0,seed_1,seed_2,seed_3,seed_4
396,27.0,9.0,16.0,66.0,34.0
397,20.0,18.0,27.0,46.0,39.0
398,20.0,47.0,27.0,50.0,16.0
399,28.0,31.0,16.0,39.0,24.0
400,16.0,43.0,14.0,17.0,16.0
401,20.0,14.0,25.0,34.0,24.0
402,40.0,23.0,27.0,9.0,19.0
403,21.0,36.0,18.0,28.0,11.0
404,30.0,25.0,37.0,28.0,53.0
405,28.0,13.0,17.0,43.0,31.0
406,28.0,19.0,27.0,27.0,25.0
407,23.0,29.0,11.0,18.0,25.0
408,26.0,19.0,79.0,25.0,32.0
409,29.0,28.0,14.0,16.0,31.0
410,46.0,10.0,38.0,9.0,26.0
411,26.0,29.0,14.0,12.0,64.0
412,12.0,33.0,19.0,20.0,24.0
413,46.0,21.0,8.0,17.0,27.0
414,58.0,44.0,48.0,29.0,15.0
415,12.0,12.0,39.0,12.0,33.0
416,17.0,10.0,18.0,31.0,13.0
417,19.0,44.0,32.0,14.0,59.0
418,14.0,13.0,55.0,28.0,13.0
419,26.0,11.0,11.0,11.0,81.0
420,23.0,12.0,13.0,39.0,31.0
421,67.0,14.0,56.0,30.0,16.0
422,14.0,17.0,14.0,30.0,49.0
423,19.0,12.0,38.0,23.0,23.0
424,74.0,51.0,13.0,38.0,30.0
425,19.0,22.0,15.0,34.0,32.0
426,36.0,49.0,12.0,43.0,28.0
427,34.0,14.0,30.0,21.0,31.0
428,18.0,13.0,11.0,23.0,50.0
429,13.0,22.0,13.0,15.0,34.0
430,33.0,30.0,30.0,64.0,44.0
431,19.0,19.0,26.0,22.0,12.0
432,25.0,21.0,20.0,11.0,32.0
433,19.0,20.0,50.0,39.0,31.0
434,26.0,21.0,31.0,51.0,36.0
435,16.0,14.0,18.0,17.0,16.0
436,12.0,9.0,11.0,31.0,42.0
437,18.0,21.0,32.0,16.0,12.0
438,39.0,14.0,22.0,23.0,21.0
439,21.0,10.0,52.0,57.0,29.0
440,43.0,27.0,32.0,17.0,42.0
441,38.0,38.0,13.0,16.0,15.0
442,37.0,11.0,22.0,20.0,34.0
443,37.0,20.0,27.0,36.0,17.0
444,36.0,28.0,24.0,38.0,20.0
445,64.0,15.0,15.0,28.0,12.0
446,24.0,12.0,19.0,23.0,28.0
447,26.0,20.0,15.0,39.0,29.0
448,35.0,58.0,35.0,27.0,29.0
449,26.0,20.0,11.0,38.0,26.0
450,15.0,52.0,18.0,13.0,13.0
451,17.0,19.0,30.0,66.0,36.0
452,18.0,16.0,19.0,33.0,32.0
453,41.0,14.0,37.0,11.0,17.0
454,42.0,62.0,15.0,16.0,21.0
